,REPOSITORY ID,REPOSITORY LINK,SAMPLE NUMBER,STUDY TITLE,STUDY LINK,ASSAY TYPE,TECHNOLOGY,COUNTRY,DISEASE,DOID,STUDY DESIGN,BODY SITE,PLATFORM,PARTICIPANT FEATURES,AVERAGE SPOTLENGTH,RUN ID,Sample ID,Sample Name,COLLECTION DATE,LIBRARY LAYOUT,LAT LON,SAMPLE TYPE,ETHNICITY,ELO,URBANZATION,REGION,CITYVILLAGE,TARGET AMPLICON,DIET
0,PRJNA248889,PRJNA248889,242.0,The conjunctival microbiome in health and trachomatous disease: a case control study,25484919.0,Wgs,Roche,Gambia,Healthy conjunctiva // Trachoma,4251 // 11265,Case-control,Eye,454 GS-FLX TITANIUM,,558.0,SRR1657835,SRS748540,TGAP-502-G-5651,,Single,"13.451290, -16.573000*",Tarsal conjunctiva,Wolof // Mandinka // Jola // Fula // Serere // Manjago // Balanta // Bambara // Other,Wolof // Mandinka // Jola // Fulani // Serere // Manjak // Balanta // Bambara // Other,Urban // Rural,Banjul // Western division // Lower river division // Central river division // Upper river division // North bank division,,V1-V3,
1,PRJNA248889,PRJNA248889,242.0,The conjunctival microbiome in health and trachomatous disease: a case control study,25484919.0,Wgs,Roche,Gambia,Healthy conjunctiva // Trachoma,4251 // 11265,Case-control,Eye,454 GS-FLX TITANIUM,,546.0,SRR1657838,SRS748543,TGAP-522-G-5693,,Single,"13.451290, -16.573000*",Tarsal conjunctiva,Wolof // Mandinka // Jola // Fula // Serere // Manjago // Balanta // Bambara // Other,Wolof // Mandinka // Jola // Fulani // Serere // Manjak // Balanta // Bambara // Other,Urban // Rural,Banjul // Western division // Lower river division // Central river division // Upper river division // North bank division,,V1-V3,
2,PRJNA248889,PRJNA248889,242.0,The conjunctival microbiome in health and trachomatous disease: a case control study,25484919.0,Wgs,Roche,Gambia,Healthy conjunctiva // Trachoma,4251 // 11265,Case-control,Eye,454 GS-FLX TITANIUM,,558.0,SRR1657840,SRS748545,TGAP-413-G-5138,,Single,"13.451290, -16.573000*",Tarsal conjunctiva,Wolof // Mandinka // Jola // Fula // Serere // Manjago // Balanta // Bambara // Other,Wolof // Mandinka // Jola // Fulani // Serere // Manjak // Balanta // Bambara // Other,Urban // Rural,Banjul // Western division // Lower river division // Central river division // Upper river division // North bank division,,V1-V3,
3,PRJNA248889,PRJNA248889,242.0,The conjunctival microbiome in health and trachomatous disease: a case control study,25484919.0,Wgs,Roche,Gambia,Healthy conjunctiva // Trachoma,4251 // 11265,Case-control,Eye,454 GS-FLX TITANIUM,,549.0,SRR1657843,SRS748548,TGAP-597-G-6097,,Single,"13.451290, -16.573000*",Tarsal conjunctiva,Wolof // Mandinka // Jola // Fula // Serere // Manjago // Balanta // Bambara // Other,Wolof // Mandinka // Jola // Fulani // Serere // Manjak // Balanta // Bambara // Other,Urban // Rural,Banjul // Western division // Lower river division // Central river division // Upper river division // North bank division,,V1-V3,
4,PRJNA248889,PRJNA248889,242.0,The conjunctival microbiome in health and trachomatous disease: a case control study,25484919.0,Wgs,Roche,Gambia,Healthy conjunctiva // Trachoma,4251 // 11265,Case-control,Eye,454 GS-FLX TITANIUM,,531.0,SRR1657846,SRS748551,TGAP-532-G-5746,,Single,"13.451290, -16.573000*",Tarsal conjunctiva,Wolof // Mandinka // Jola // Fula // Serere // Manjago // Balanta // Bambara // Other,Wolof // Mandinka // Jola // Fulani // Serere // Manjak // Balanta // Bambara // Other,Urban // Rural,Banjul // Western division // Lower river division // Central river division // Upper river division // North bank division,,V1-V3,
5,PRJNA248889,PRJNA248889,242.0,The conjunctival microbiome in health and trachomatous disease: a case control study,25484919.0,Wgs,Roche,Gambia,Healthy conjunctiva // Trachoma,4251 // 11265,Case-control,Eye,454 GS-FLX TITANIUM,,540.0,SRR1657847,SRS748552,TGAP-578-G-5981,,Single,"13.451290, -16.573000*",Tarsal conjunctiva,Wolof // Mandinka // Jola // Fula // Serere // Manjago // Balanta // Bambara // Other,Wolof // Mandinka // Jola // Fulani // Serere // Manjak // Balanta // Bambara // Other,Urban // Rural,Banjul // Western division // Lower river division // Central river division // Upper river division // North bank division,,V1-V3,
6,PRJNA248889,PRJNA248889,242.0,The conjunctival microbiome in health and trachomatous disease: a case control study,25484919.0,Wgs,Roche,Gambia,Healthy conjunctiva // Trachoma,4251 // 11265,Case-control,Eye,454 GS-FLX TITANIUM,,544.0,SRR1657848,SRS748553,TGAP-596-G-6096,,Single,"13.451290, -16.573000*",Tarsal conjunctiva,Wolof // Mandinka // Jola // Fula // Serere // Manjago // Balanta // Bambara // Other,Wolof // Mandinka // Jola // Fulani // Serere // Manjak // Balanta // Bambara // Other,Urban // Rural,Banjul // Western division // Lower river division // Central river division // Upper river division // North bank division,,V1-V3,
7,PRJNA248889,PRJNA248889,242.0,The conjunctival microbiome in health and trachomatous disease: a case control study,25484919.0,Wgs,Roche,Gambia,Healthy conjunctiva // Trachoma,4251 // 11265,Case-control,Eye,454 GS-FLX TITANIUM,,543.0,SRR1657849,SRS748554,TGAP-516-G-5683,,Single,"13.451290, -16.573000*",Tarsal conjunctiva,Wolof // Mandinka // Jola // Fula // Serere // Manjago // Balanta // Bambara // Other,Wolof // Mandinka // Jola // Fulani // Serere // Manjak // Balanta // Bambara // Other,Urban // Rural,Banjul // Western division // Lower river division // Central river division // Upper river division // North bank division,,V1-V3,
8,PRJNA248889,PRJNA248889,242.0,The conjunctival microbiome in health and trachomatous disease: a case control study,25484919.0,Wgs,Roche,Gambia,Healthy conjunctiva // Trachoma,4251 // 11265,Case-control,Eye,454 GS-FLX TITANIUM,,556.0,SRR1657850,SRS748555,TGAP-434-G-5437,,Single,"13.451290, -16.573000*",Tarsal conjunctiva,Wolof // Mandinka // Jola // Fula // Serere // Manjago // Balanta // Bambara // Other,Wolof // Mandinka // Jola // Fulani // Serere // Manjak // Balanta // Bambara // Other,Urban // Rural,Banjul // Western division // Lower river division // Central river division // Upper river division // North bank division,,V1-V3,
9,PRJNA248889,PRJNA248889,242.0,The conjunctival microbiome in health and trachomatous disease: a case control study,25484919.0,Wgs,Roche,Gambia,Healthy conjunctiva // Trachoma,4251 // 11265,Case-control,Eye,454 GS-FLX TITANIUM,,552.0,SRR1657852,SRS748557,TGAP-485-G-5596,,Single,"13.451290, -16.573000*",Tarsal conjunctiva,Wolof // Mandinka // Jola // Fula // Serere // Manjago // Balanta // Bambara // Other,Wolof // Mandinka // Jola // Fulani // Serere // Manjak // Balanta // Bambara // Other,Urban // Rural,Banjul // Western division // Lower river division // Central river division // Upper river division // North bank division,,V1-V3,
